,item_id,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,sMAPE,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.2],Coverage[0.2],QuantileLoss[0.3],Coverage[0.3],QuantileLoss[0.4],Coverage[0.4],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.6],Coverage[0.6],QuantileLoss[0.7],Coverage[0.7],QuantileLoss[0.8],Coverage[0.8],QuantileLoss[0.9],Coverage[0.9]
0,H1,543.3809407552084,933.089599609375,31644.0,659.25,42.37130177514793,0.4587861558204575,0.027135938734175285,2.329232585402538,332.68134155273435,0.08333333333333333,507.3201904296875,0.20833333333333334,727.73779296875,0.4791666666666667,885.32861328125,0.5416666666666666,933.0896301269531,0.6458333333333334,878.6164184570314,0.7083333333333334,800.2385437011719,0.8541666666666666,672.1617553710936,0.9583333333333334,427.77317504882797,0.9791666666666666
1,H2,106512.85416666667,15065.8076171875,124149.0,2586.4375,165.10798816568047,1.901004279149597,0.11257379715466337,28.058278008236794,9172.626782226562,0.9583333333333334,13476.599218750001,1.0,15367.669946289061,1.0,15744.552099609375,1.0,15065.807373046875,1.0,13339.005468750001,1.0,11056.666040039065,1.0,8191.081347656247,1.0,4738.052685546874,1.0
2,H3,23891.6875,5560.97900390625,65030.0,1354.7916666666667,78.88905325443787,1.4685653391528004,0.07999356669888792,40.96424948784902,1822.5244384765626,0.1875,2993.1626953125,0.1875,3958.0633789062495,0.22916666666666666,4831.407470703125,0.2916666666666667,5560.979187011719,0.375,6185.90927734375,0.3958333333333333,6620.068054199219,0.3958333333333333,6798.112841796875,0.4166666666666667,6614.863940429688,0.4791666666666667
3,H4,139188.69791666666,14299.1572265625,235783.0,4912.145833333333,258.9822485207101,1.1502684473098033,0.06028081746922176,25.465493155435095,9784.00146484375,0.3333333333333333,12061.298339843752,0.3541666666666667,13588.51669921875,0.3541666666666667,14238.1583984375,0.375,14299.156982421875,0.3958333333333333,14040.09736328125,0.4166666666666667,13193.35556640625,0.4375,11225.5484375,0.4791666666666667,8379.54267578125,0.6458333333333334
4,H5,8114.703125,3237.61279296875,131088.0,2731.0,200.4940828402367,0.3364202352741248,0.026231399011655096,2.2567604788435616,1613.4774169921875,0.10416666666666667,2630.21904296875,0.1875,3142.5535400390627,0.20833333333333334,3305.087158203125,0.3125,3237.61279296875,0.4375,3107.885791015625,0.5625,2715.647192382813,0.75,2282.4278320312496,0.8541666666666666,1476.2464843749997,0.9375
5,H6,88109.375,12386.111328125,303379.0,6320.395833333333,212.87573964497042,1.212181277363801,0.041236199163357974,21.309856961932955,4157.3203125,0.0,7130.874804687501,0.0,9420.369433593749,0.0,11131.169140625001,0.020833333333333332,12386.11181640625,0.08333333333333333,13276.574804687498,0.10416666666666667,13119.252929687498,0.125,11922.2869140625,0.16666666666666666,9230.8291015625,0.22916666666666666
6,H7,6590258.666666667,98615.4609375,1985325.0,41360.9375,1947.6878698224853,1.0548347101009048,0.05211391486327579,21.752066969040566,29845.901171875004,0.0,51628.31015625001,0.08333333333333333,71352.800390625,0.16666666666666666,86835.2921875,0.16666666666666666,98615.4609375,0.22916666666666666,106555.06875,0.25,107829.71210937499,0.3333333333333333,103079.06171875,0.375,90746.00390625,0.4166666666666667
7,H8,2894156.0,67126.4296875,1540706.0,32098.041666666668,1624.0443786982248,0.8611016444496491,0.04683751801527364,17.032593359408445,22522.538281250003,0.0,37984.51875,0.0,49933.99921875,0.10416666666666667,59443.254687500004,0.16666666666666666,67126.427734375,0.20833333333333334,72465.07578125,0.25,73536.051953125,0.2708333333333333,70760.45234375,0.2916666666666667,58325.387890625,0.4166666666666667
8,H9,3263863.3333333335,71406.3125,1640860.0,34184.583333333336,1850.9881656804735,0.8036958517613066,0.040227751150848194,14.106240579556097,55542.741796874994,0.625,69880.4078125,0.7083333333333334,75456.86249999999,0.75,75841.36093750001,0.7708333333333334,71406.306640625,0.8125,62736.969531250004,0.8125,52362.95976562501,0.8958333333333334,38191.467968749996,0.8958333333333334,21604.411718749998,0.9791666666666666
9,H10,871.8284505208334,1099.2667236328125,21408.0,446.0,10.52662721893491,2.1755676912819153,0.0509259206186947,51.562086351583,329.44867553710935,0.0,578.9326538085937,0.020833333333333332,786.2095458984375,0.08333333333333333,963.5438354492187,0.14583333333333334,1099.2666931152344,0.1875,1214.02294921875,0.22916666666666666,1267.102337646484,0.22916666666666666,1251.6549438476563,0.2708333333333333,1149.2585083007812,0.375
10,H11,4148154.0,74092.34375,1597686.0,33285.125,1642.9245562130177,0.9395382696997856,0.047451254649361764,16.020625894210156,25873.819140624997,0.0,42540.509375,0.0,55814.9921875,0.041666666666666664,66675.2015625,0.20833333333333334,74092.33984375,0.22916666666666666,79020.26640625,0.2916666666666667,77300.5828125,0.3333333333333333,71272.79218750002,0.3958333333333333,56095.14609375,0.5833333333333334
11,H12,380728.875,26414.15234375,434220.0,9046.25,522.353550295858,1.053491146337778,0.06523454438818142,20.16008391306133,8018.666601562501,0.14583333333333334,14194.937695312501,0.1875,19468.368359374996,0.20833333333333334,23256.866796875,0.20833333333333334,26414.1513671875,0.20833333333333334,28635.065625,0.22916666666666666,28943.62646484375,0.22916666666666666,26895.336328125,0.25,21994.2078125,0.3333333333333333
