"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",15.9238,3.4658,1,1
"ARIMA",17.3527,3.5594,1.4081,1.0584
"ETS",17.492,3.6953,1.3697,1.0824
"ETSARIMA",16.7625,3.518,1.3148,1.0339
"Legaki",13.6556,2.7795,0.9183,0.8298
