"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.8728,1.4298,1,1
"ARIMA",10.1476,1.1755,0.9873,0.8777
"ETS",10.0964,1.1731,0.9603,0.8745
"ETSARIMA",9.8427,1.1439,0.932,0.8527
"Legaki",10.0787,1.2322,0.9265,0.8944
