"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Y1",31,0.0397992558724476,0.0974613308781122,0.123574233585241,0.110364939684841,0.0185627129030803,2.57735685367264,6.10384633117814,7.60410474573003,6.85397553845409,1.22016616702577
"2","Y2",31,0.242653844160475,0.242653844160475,0.242635423305248,0.242644633781316,0.218838641550736,1.78337754199823,1.78337754199823,1.78321781984929,1.78329768092376,1.57908787196229
"3","Y3",31,0.0509475892776194,0.0237338046983009,0.024870698361754,0.024302446499042,0.0151013667722842,2.3576512455516,1.14234875444858,1.19807752354788,1.17021313899823,0.71518002338917
"4","Y4",31,0.03302938739164,0.042981059686014,0.0470216510631248,0.0450038265123086,0.010917789876914,1.53846153846154,2.07063413312629,2.2718908567591,2.17126249494269,0.510634516907976
"5","Y5",31,0.128115278164091,0.0573147900000479,0.0656247863397176,0.0614575475234064,0.080850643376806,5.52681992337165,2.57854406129805,2.93987913267624,2.75921159698714,3.59055853589872
"6","Y38",43,1.1315464355805,2,2,2,1.07192653075697,4.84260183968463,11.3751790882514,23.664419284486,17.5197991863687,4.67375542839501
"7","Y40",81,0.103110454010459,0.240813877518832,0.17776857376339,0.208686992646146,0.00859902004599726,8.28031424646206,17.9008834394053,13.6927010051214,15.7967922222634,0.733887262185329
"8","Y41",81,0.0757415066079957,0.0793921998225576,0.138831046410517,0.108562656243697,0.0325465998635188,5.74572187864789,6.0044969472783,10.1696736476295,8.0870852974539,2.53027462608825
"9","Y42",50,0.0484479230771348,0.156754225025251,0.156971419937334,0.156862830196338,0.0347226379416894,2.50831396992832,9.26140130242522,9.27555631407031,9.26847880824777,1.88667744263918
"10","Y43",51,0.0373297410088885,0.104646518963052,0.104320359246008,0.104483459986036,0.0417521984118247,1.904509596138,5.82495066744183,5.80528818397575,5.81511942570879,2.21168725790938
