"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",20.6509,5.4678,1,1
"ARIMA",15.0733,3.68,0.8699,0.7015
"ETS",15.8558,3.7779,0.8873,0.7294
"ETSARIMA",15.1771,3.6783,0.8557,0.7038
"Legaki",13.9099,3.4184,0.7743,0.6494
