"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",18.3829,2.395,1,1
"ARIMA",14.0899,0.9487,0.7477,0.5813
"ETS",17.3068,1.8239,0.8536,0.8515
"ETSARIMA",14.739,1.2757,0.7356,0.6672
"Legaki",17.567,2.5574,1.0217,1.0117
