"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","M3991",352,0.277240500666991,0.298806620651759,0.243679878703587,0.270766761177431,0.308718057129354,2.21568857920181,2.14386009771677,1.80606445274742,1.9749622752321,2.19507334479344
"2","M6306",62,0.296795678846088,0.317076007671634,0.296755766295762,0.306134361029908,0.295009454754731,0.587107070174668,0.624240371116329,0.587107070174668,0.604579402201583,0.585676300196106
"3","M6853",317,0.093168251827632,0.0610981996449448,0.073290136723289,0.0669279112677023,0.0688489628556465,2.55199093617056,1.71885315569111,2.0409455078589,1.8738504068904,1.92377161622758
"4","M6854",317,0.245427161208214,0.245645006868629,0.244946438386044,0.245295812185913,0.251046179784636,6.25935660025946,6.25393011929072,6.23729357098264,6.24561184513668,6.37285927936606
"5","M6855",317,0.0278048347277573,0.0125988629383046,0.0117069835039653,0.0120548731941789,0.0232306871392577,0.900555980638781,0.413037984488833,0.383938246377557,0.395350238670557,0.754690180516059
"6","M6856",69,0.043045347858167,0.043045347858167,0.0399663589231159,0.0415046923684598,0.0117240600382726,0.580625393175557,0.580625393175557,0.540056015221058,0.560340704198307,0.160145646354955
"7","M6857",69,0.172660540825487,0.175651538328085,0.179585082282293,0.17752257346943,0.186273988551452,2.06481481481481,2.09735735284727,2.13992977396128,2.11763948380226,2.21195076294019
"8","M6858",69,0.149861885418508,0.0855762278954745,0.125572202630121,0.103328765457968,0.160511069317211,1.75495167844825,1.03442650130994,1.48280085875254,1.23863270912956,1.86297047570434
"9","M6859",69,0.146372048760946,0.180536685930983,0.159230595254313,0.168908914101265,0.179441798128926,0.407667618590311,0.516620116596682,0.448037507567656,0.478973475568503,0.513369020700967
"10","M6860",69,0.00730052084182998,0.00730052084182998,0.00730112441655262,0.00730082262926004,0.00744211763513486,0.233655665335295,0.233655665335295,0.233675026285943,0.233665345810621,0.237749010754396
"11","M6861",69,0.0591967643331321,0.0526167572853405,0.0416244363967934,0.0464323527118866,0.0512597243721458,1.20005730061989,1.07305605352198,0.835373326092309,0.942948944116621,1.03860570698142
"12","M6862",203,0.31279486389935,0.260532508036898,0.253766176859173,0.256788104005913,0.264101689539319,1.64855669359114,1.41488885742494,1.38355431120913,1.39763723786484,1.42864222563943
"13","M6863",203,0.364092125034998,0.294631418383152,0.183448874157353,0.236839174444971,0.297948047035373,1.60148092743373,1.34798432182103,0.89367561982227,1.11943429068104,1.3564031125708
"14","M13857",401,0.0944795986825177,0.111572141500443,0.116623243007123,0.113868969829798,0.133797209459339,0.551140153701164,0.658633081520381,0.690798538030386,0.673200770059,0.802928719921599
"15","M13858",401,0.0822260829417261,0.115529381938607,0.0681986948742544,0.0895764414762792,0.106480610199708,0.334353077463945,0.477384810570836,0.277464836123732,0.365089116257602,0.439105915225445
"16","M13859",401,0.0476642353739532,0.0369338806997298,0.0553374895898184,0.0418129492433153,0.0445055667634318,0.26385346089833,0.205214355084946,0.302897777289618,0.232303854426281,0.248046222930522
