"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",7.3508,1.0481,1,1
"ARIMA",6.7863,0.8882,0.9654,0.8853
"ETS",6.8007,0.8972,0.9379,0.8906
"ETSARIMA",6.5831,0.8651,0.9089,0.8605
"Legaki",6.8107,0.9595,0.9574,0.921
