"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",17.8614,4.3239,1,1
"ARIMA",15.8361,3.5086,1.1105,0.849
"ETS",16.5255,3.6242,1.1022,0.8817
"ETSARIMA",15.7136,3.4742,1.0553,0.8416
"Legaki",14.4299,3.2613,0.9031,0.7811
