"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",3.0453,3.2784,1,1
"ARIMA",3.186,3.3993,1.1024,1.0416
"ETS",3.046,3.2526,1.0045,0.9962
"ETSARIMA",3.0814,3.2707,1.0362,1.0048
"Legaki",3.0409,3.2537,0.9962,0.9955
