"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",13.4408,2.0282,1,1
"Comb",12.4486,1.6874,0.9445,0.8791
"ARIMA",12.3592,1.7493,1.0317,0.891
"ETS",12.6757,1.7812,1.0262,0.9107
"ETSARIMA",11.9902,1.7167,0.9814,0.8693
