"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",9.1613,2.7773,1,1
"ARIMA",8.5913,2.5423,1.0635,0.9266
"ETS",8.7266,2.527,0.9977,0.9312
"ETSARIMA",8.444,2.4711,0.998,0.9057
"Legaki",9.1483,2.6012,1.0258,0.9676
