"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",11.654,3.0699,1,1
"ARIMA",11.033,2.5852,1.1237,0.8944
"ETS",10.6472,2.6211,1.0188,0.8837
"ETSARIMA",10.4642,2.5375,1.0221,0.8622
"Legaki",9.8986,2.5166,0.9107,0.8346
