"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Q141",266,0.0248903324350087,0.0119339778496766,0.0186109872896284,0.0152635627800725,0.00226590632795618,1.68619722496959,0.814749586599289,1.26606441705151,1.0404070018254,0.153156520162585
"2","Q142",266,0.0538949854639326,0.0528691525722478,0.0203771775870847,0.0363155300227484,0.0227761178227616,3.35483171066867,3.29225640052591,1.29811848596512,2.28573029492267,1.44691998495167
"3","Q546",94,0.0249688853072947,0.0237769909318367,0.0172883240408535,0.0175528526634973,0.0204967427439356,0.921376762818603,0.870407339795369,0.639130121201426,0.64710775200609,0.760681684069768
"4","Q2059",115,0.0643284017386063,0.0767230544121414,0.0645509904368631,0.0704056470491636,0.07242004530569,1.02490893524234,1.23388930528788,1.02865792158851,1.1269076916458,1.16202667307338
"5","Q2080",115,0.0250905986110684,0.00807649041272023,0.00871104326081896,0.00752035375681014,0.011867685157768,1.26158529732087,0.409277319195132,0.43800334338339,0.379018751285218,0.603292067353795
"6","Q2095",115,0.0794542236007284,0.124843480036915,0.0917634713206194,0.106265243128085,0.0919920785048508,0.934180066656579,1.4307784582901,1.0726872887909,1.23180781264582,1.07521842260146
"7","Q2101",115,0.16837300610217,0.188681009031859,0.160091291372642,0.174654088302351,0.16344987583185,1.71026453194267,1.94278569806891,1.61595110290723,1.77936840048807,1.65507551713648
"8","Q2103",115,0.268482989559745,0.261812889682483,0.259932523701079,0.260983954216653,0.258185043089363,1.48760790848239,1.44798307535988,1.43271059313353,1.44034683424671,1.42160071200112
"9","Q2104",115,0.0819754257128652,0.110666712518182,0.081973925255698,0.0958335211926406,0.0909726379189615,1.36092936308536,1.88069997153554,1.36092936308536,1.60394087695921,1.51475033984958
"10","Q2251",115,0.0380870222598426,0.0573964697878679,0.0628498785091773,0.0601162479346689,0.0585966933773076,0.780414034919347,1.16414337161853,1.2709970103795,1.21757019099901,1.18769715842719
"11","Q2257",115,0.0139162902898356,0.0077447626578388,0.01298572071612,0.00990589441082271,0.00758147357910276,0.655786975558967,0.365889653297343,0.612403041843993,0.468069579332106,0.358341303422397
"12","Q2305",115,0.0160758236912609,0.00957497862480119,0.00936911506820806,0.00864458927868313,0.0096513108231188,0.755222695684338,0.448882237136207,0.439921945912445,0.40476761998911,0.454742673972336
