"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",14.4128,1.0055,1,1
"ARIMA",13.1277,0.8636,1.0964,0.8849
"ETS",12.9057,0.8321,1.084,0.8614
"ETSARIMA",12.6307,0.8161,1.0495,0.844
"Legaki",12.7406,0.9146,0.9798,0.8968
