"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",30.6039,1.2896,1,1
"ARIMA",27.1456,1.1481,0.957,0.8886
"ETS",27.937,1.1797,0.9785,0.9138
"ETSARIMA",27.0701,1.1394,0.9433,0.884
"Legaki",25.6294,1.1054,0.9064,0.8473
