"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.4897,1.4154,1,1
"ARIMA",10.022,1.1796,0.9949,0.8944
"ETS",9.9825,1.1801,0.9711,0.8927
"ETSARIMA",9.7144,1.1478,0.9387,0.8685
"Legaki",9.8593,1.2358,0.9269,0.9065
