"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",16.0177,3.4504,1,1
"ARIMA",15.0804,3.0002,1.2099,0.9055
"ETS",15.4504,3.0918,1.1519,0.9303
"ETSARIMA",14.8606,2.9868,1.1425,0.8967
"Legaki",14.032,2.8591,1.016,0.8523
