"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.3586,1.3237,1,1
"ARIMA",8.6686,1.0888,0.9048,0.8297
"ETS",8.6227,1.0888,0.8931,0.8275
"ETSARIMA",8.4861,1.068,0.8777,0.813
"Legaki",8.826,1.1248,0.9109,0.8509
