"","Series","insample_n","period","sMAPE.Naive2","sMAPE.Comb","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","MASE.Naive2","MASE.Comb","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA"
"1","Q11546",56,4,0.00598440446461073,0.00795300877904852,0.0129875323595576,0.00666699850101684,0.00927426239181892,0.427023779204957,0.570523599842306,0.935821467072696,0.477556350108586,0.666980311890421
"2","M23107",330,3,0.0151604161298362,0.0122848695412031,0.00989016899090179,0.0108209326226113,0.0101820220839753,1.08045795416452,0.876793231358971,0.705844667532609,0.772686787492347,0.727198449263871
"3","M24900",432,3,0.0109714862626002,0.0120312966784251,0.0115151191280604,0.0069788821060493,0.00908329985226296,0.512054164819088,0.561932918618548,0.536196797517965,0.323573859377317,0.422053725924092
"4","M22979",306,3,0.0103379755667085,0.00977731752779252,0.00818308904277007,0.00984306254808737,0.00775608485763632,0.548767453471316,0.519356563821979,0.435197726128144,0.522879882104904,0.412449672221361
"5","Q13113",114,4,0.0092980300805385,0.00951799711752455,0.0167532807304071,0.0106261446888194,0.013698171955697,0.413250899743347,0.423101144616173,0.749873094536471,0.472840170328949,0.611356632432712
"6","M23690",184,3,0.090922409655485,0.0927133343636576,0.0946334356543191,0.107495719449291,0.101062319551618,2.05317808870785,2.09634772859159,2.14162817539117,2.45672345757987,2.29811085727665
"7","M21628",705,3,0.0243301349967151,0.0249646193975408,0.0148276174928744,0.0198536297694514,0.0168472839341526,0.7119176416233,0.728182427371887,0.429261759816293,0.570963148256619,0.486460456202685
"8","Q12840",96,4,0.073273055284165,0.136169287889141,0.131258969943504,0.129329012693197,0.130194355969242,0.810593870480322,1.45377445987452,1.4391747909013,1.41252469533189,1.4258497431166
"9","W235",1602,5,0.458611851008698,0.535460733179837,0.51632751222046,0.517003556852676,0.516665487789621,3.2975893325973,3.6959837308174,3.59546609297332,3.59891705731964,3.59719157514648
"10","M22194",306,3,0.0219708728934969,0.0200619337901316,0.0146431983987205,0.0213175907113492,0.0179731263342945,1.15306950816062,1.05406561094336,0.771712019017831,1.11925114981667,0.945481584417251
"11","M23763",334,3,0.090655182029288,0.132311845500607,0.069803534672543,0.135076450942005,0.100940319125022,1.15280551851721,1.64608696155435,0.900530806413157,1.67770975257187,1.27875390365969
"12","M26122",295,3,0.0445006975746962,0.0483632714219092,0.0484113480936917,0.0445265992913798,0.0451730683714765,0.686301259018525,0.744779483960305,0.752294963943174,0.685399453773512,0.694977062302088
"13","M22349",306,3,0.0319795437322787,0.0312560127425268,0.00775549809716608,0.0293140860717103,0.0170835493237375,1.01832896596534,0.995689210584983,0.250486074148795,0.934798601889753,0.548998370036883
"14","Q11348",139,4,0.0339095109683502,0.0114689405825809,0.00799907035239193,0.0119399034376812,0.00969403205649672,1.36173306798003,0.466891240939245,0.324960456393199,0.488457524461938,0.395036057517219
"15","M25549",450,3,0.0136292850284963,0.0116943007469147,0.0087955611834476,0.00703558073066955,0.00784529889606273,0.602365279709627,0.517204083463707,0.391687634202785,0.313389213366731,0.349378048619441
"16","M23070",306,3,0.0132291374528035,0.0124681517849097,0.0141486757931933,0.0132860364906175,0.0136814541434057,0.527579677355075,0.496999815492153,0.564788978663679,0.529851024768674,0.545864926280618
"17","Q12962",162,4,0.154854505371667,0.078325161645697,0.0431272777464109,0.0213733509593468,0.0321525069978388,4.97912160180991,2.6253895810279,1.47840176621134,0.72606043508433,1.10223110064784
"18","Q11581",28,4,0.0400852538556474,0.0570918025680663,0.0596798017895086,0.06589429918831,0.0619001828404459,1.30189122555192,1.83852259458963,1.93515265681283,2.11816429357,1.99973121758732
"19","Q11826",115,4,0.0461954904146609,0.044024770700948,0.0382587398847994,0.0377459309853132,0.0380022718991551,1.36017113383506,1.29739972600811,1.13062192233815,1.11571260145964,1.12316726189889
"20","M21643",705,3,0.098186414121619,0.0982007534675091,0.0624935651651716,0.105051752634416,0.0816648163256687,1.27961305618281,1.28093276800391,0.790001313954468,1.37226906832941,1.04639532633077
"21","Y11228",46,6,0.178930936768486,0.198525829586961,0.178930936768486,0.178940211702965,0.178935574247586,2.1410472972973,2.41876600298321,2.1410472972973,2.14117604186667,2.14111166958199
"22","Q12652",46,4,0.19169482279267,0.0229430978464049,0.214762416855065,0.152204299244355,0.182978554613088,3.41166845292921,0.449700740522722,3.77168273523789,2.76776708671356,3.26972491097572
"23","M25712",354,3,0.00207986406989892,0.00200852444854259,0.00236074494394392,0.00207460245872779,0.00214973015246694,0.372374170300578,0.359616945846804,0.422651817481008,0.371451338068653,0.384907897969756
"24","M24721",354,3,0.011767797613488,0.0103174598243483,0.00928135241287713,0.0123814388436785,0.0105872480153815,0.609140348761442,0.534564715683516,0.482161439374858,0.641280141545972,0.549549168924773
"25","M22960",306,3,0.0115088356260211,0.012260008380499,0.011463052758311,0.0121153807702314,0.0112804484083225,0.709674500173943,0.756185173351806,0.706541055084247,0.74719840499275,0.695327770313856
"26","M26615",282,3,0.138622406407549,0.184326423968997,0.073921585464369,0.136769106467697,0.10270406616813,0.86662291570755,1.12175268063321,0.479091620172392,0.855957157869504,0.655586490458299
"27","Y11081",40,6,0.0735805617762,0.0292223731992781,0.0194937708392197,0.0208668384889383,0.0201798133569814,2.59292837715322,1.0527239051642,0.703989120578702,0.753655499230509,0.728822309904606
"28","Y11277",34,6,0.155136331421446,0.0316658143102193,0.0577006408969254,0.0572522896722539,0.0574777036978252,6.23956356736243,1.40292288726048,2.48719165085389,2.45537619504566,2.47128392294977
"29","Q12236",32,4,0.0523305592591582,0.0555730047573901,0.0668818561825176,0.0631888159755897,0.0544225726761228,0.464220537718681,0.494148038878036,0.600783886538633,0.560348020263121,0.483062505110569
"30","M25102",202,3,0.0083357384622805,0.01221152610204,0.0068988450573989,0.0127706753491054,0.00921573348091544,0.785853110976569,1.15429327009175,0.649675464665416,1.20762988886458,0.868978108408598
"31","M21399",85,3,0.0311840929262268,0.0203768005349437,0.0087077465219629,0.00826705939311451,0.00848725380323912,1.0164279779842,0.668744715786548,0.287380679822166,0.272869174263831,0.280124927042998
"32","Q13121",70,4,0.123552064373123,0.122095141570685,0.177122254802375,0.124657056107038,0.150206967442379,1.10845314823996,1.09728217813081,1.54334148588005,1.11890364940457,1.32800396102865
"33","Q11824",115,4,0.028427748988162,0.0214180546712885,0.017008322317031,0.0223715692029452,0.0196966615431474,1.47698518501933,1.10707396663943,0.876608298270297,1.15713163439309,1.01686996633169
"34","Y10561",20,6,0.0498365288552112,0.0758872574790645,0.124970179213485,0.185975263620928,0.154775639297201,1.8843896713615,2.81500127735705,4.50663351464214,6.45156243718138,5.47909797591176
"35","Q11512",108,4,0.067315422546663,0.0794314022684651,0.0528431987654877,0.018929498223236,0.0341506383369483,0.60016941100621,0.715803112434211,0.466060596060748,0.167227761490736,0.297512113986418
"36","M24951",295,3,0.101503773490153,0.0881963476364326,0.106744692951732,0.0859872950025484,0.0935524925981986,0.94115564793628,0.804971698398803,0.993232848751872,0.784253817547182,0.858314082559259
"37","M23528",306,3,0.00868869631624683,0.00602370338204952,0.0302442807973674,0.0149105178324565,0.022140802376357,0.364318565473823,0.251907091349409,1.24036262714326,0.6173226764487,0.912298501627735
"38","Y10491",34,6,0.327870538419445,0.352377519505043,0.142154096837701,0.327873664644821,0.209331035916187,2.77853436800772,2.9453261003877,1.36145437168599,2.77855553894947,1.92040017106105
"39","Q13143",74,4,0.0479565221567919,0.0300183660385406,0.0156823412087997,0.0145883556248515,0.0151349725850239,1.49828845745256,0.947910372115482,0.50224457963257,0.467685490969893,0.484965035301231
"40","M23891",334,3,0.0268116579231417,0.0274124774360642,0.0339905757783266,0.0284898083422736,0.0312470556597215,1.02820411693705,1.05111661508268,1.30715420601996,1.09299357641614,1.20007389121805
"41","M21412",305,3,0.0821432541267247,0.0789586294210259,0.120254071758355,0.0797614973183289,0.0980506287878174,0.692405555182858,0.694588267038216,1.0928813391142,0.702366115497452,0.876716580564554
"42","M24590",334,3,0.0120229221643509,0.0107276290625456,0.0120919962952243,0.0107890881515946,0.0109613224052304,0.551271575206089,0.491088343419626,0.554071466484921,0.493847786998931,0.501745831235532
"43","M24246",224,3,0.103762219591205,0.100109225407954,0.0715623046112232,0.0948103810317567,0.083314995242405,0.642171690975157,0.618074457882818,0.435921182428063,0.586156183122233,0.511038682775148
"44","M21553",548,3,0.0173559244205979,0.0233709637689914,0.0218484302604927,0.0160298138612161,0.0177234388186711,0.332646477793255,0.447166972173721,0.417475395946948,0.306174606463562,0.339785964274878
"45","M24686",431,3,0.0174827759608937,0.0206547668712733,0.0150948156120702,0.0213679309942153,0.0182221678382424,1.13040611743357,1.33283054507088,0.97745517973232,1.37761273417255,1.17753395695243
"46","Q12322",115,4,0.107972354374773,0.0776739088004375,0.0717276149047608,0.072974240403357,0.0723490275365338,2.03541528634336,1.49566962493161,1.38299499371725,1.40806313095556,1.39552906233641
"47","Y10871",34,6,0.0851205802916967,0.0474258094713902,0.0722516378068196,0.0851224745099257,0.0786666015842593,3.58176792295803,2.03309990891977,3.0612216917966,3.58184404629173,3.32153286904417
"48","M23531",306,3,0.0416706531216135,0.0379483908660433,0.0327014401957666,0.0362525959332581,0.0344741325146139,3.18022727151433,2.90211368077252,2.50990058539412,2.77531225099917,2.64260641819664
"49","M22655",306,3,0.0117648039402931,0.0137896512703843,0.0146186044855039,0.0107988653084403,0.0120368346950059,0.394111523052056,0.460844249393223,0.487962434342506,0.36204747217352,0.402720709554859
"50","Q12471",126,4,0.0658048040088956,0.0786938161635974,0.0635914151835473,0.0705261887168278,0.0631053337569141,0.662127525715794,0.785671042473407,0.639368598356852,0.711759322496675,0.634823331103252
"51","Y10931",34,6,0.135773973127149,0.122650851385217,0.125116993075449,0.135776360806679,0.130433328242413,7.23175461404148,6.5817293270809,6.70608462119146,7.23187180108444,6.96897821113795
"52","M25684",334,3,0.0896202056326812,0.0927283177015438,0.0494326341333354,0.0477951199394454,0.0486155793846515,4.70692120667659,4.88021102181248,2.52928005059782,2.4424623948781,2.48587122273796
"53","Q12991",93,4,0.0836371927344822,0.085197319395718,0.076523607598021,0.0765361658907533,0.0765298867193812,0.880900259895463,0.896495924040003,0.809488692232055,0.809615389644874,0.809552040938465
"54","M23855",256,3,0.0220397153699062,0.0202092446623337,0.0260453310831672,0.0217737020669277,0.0231171707179084,0.754928836320004,0.692660988779674,0.891262207172555,0.747698643862031,0.796642116770568
"55","Q12941",55,4,0.337153131665953,0.143779938479744,0.168108374307656,0.141027615540258,0.134442689475869,2.72765352457453,1.31087645415048,1.55728690440997,1.28652367947555,1.23854369173553
"56","M26488",891,3,0.0271700111258194,0.0263543762897827,0.0254690463277417,0.0253772669477375,0.0254231555979792,1.32773204243005,1.28851176955995,1.24596631818112,1.24154751704459,1.24375691761286
"57","Q12516",88,4,0.164020854529651,0.102171605596375,0.0944420337465623,0.101177294008291,0.0811806633401506,1.9183690661774,1.13251950604736,1.03609041918065,1.12099825747692,0.886336045640588
"58","Q12422",115,4,0.00997513427916682,0.00637442242324489,0.0057602747911242,0.0101347093010983,0.00723416381431304,0.504970798506661,0.32108151988128,0.289746964581563,0.511496182922987,0.363636589135032
"59","M26049",450,3,0.0507884702028756,0.0567807376356775,0.0577251863889691,0.0540748728714741,0.0558858003018358,1.68481777286626,1.87753604610118,1.91314071160166,1.7958699951815,1.85450535339158
"60","Q12692",122,4,0.217527701519488,0.307206255364787,0.180291447419703,0.21780592052907,0.19885235027799,1.10778569159349,1.49328658467768,0.939321097160653,1.11002353040826,1.02467231378446
"61","M23149",306,3,0.00840506728791345,0.0112510341664879,0.0136121577184394,0.00940578988381305,0.0112611241483793,0.280274334734932,0.374219471571425,0.452015607255422,0.313250185665443,0.374608337868417
"62","Y11056",40,6,0.01703432566467,0.0209329263916101,0.0311773702921658,0.0192509117625378,0.014691003969082,0.788357190842848,0.974621688404407,1.42612468686699,0.895594619651595,0.680907866984783
"63","M25761",256,3,0.0207212632918155,0.0234991036143356,0.0370862601415933,0.0194894806993832,0.0255486159037055,0.538999349319327,0.619535913600085,0.955609355477546,0.501460525305298,0.655756533651443
"64","Q12901",96,4,0.0133054832938375,0.0120289618623372,0.00741040200306989,0.0128582000497686,0.0100114251938835,0.835288853272122,0.755764792129059,0.4642957191087,0.808230866535467,0.627649749293318
"65","M25059",202,3,0.0448163871481565,0.0449056162085805,0.038575268089471,0.0491637612824521,0.0435423539435028,0.789097020023579,0.790493782852766,0.683113686429417,0.863763876585741,0.768420094722995
"66","M21998",306,3,0.0071183459737336,0.00654990417975747,0.00530003631897371,0.00705774938444684,0.00602545039317595,0.581745517815562,0.534991577004245,0.432286162499625,0.576623552570452,0.49201892929988
"67","M22476",306,3,0.0051432411610707,0.00471483998366636,0.00352429601943577,0.00436079654599184,0.00377551025725355,0.356919940407707,0.327309404569206,0.244581749857019,0.302711851098034,0.261933584768442
