"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",14.8954,2.2167,1,1
"Comb",13.2658,1.8752,0.947,0.8683
"ARIMA",13.6403,1.887,1.059,0.8835
"ETS",13.6475,1.906,1.0234,0.888
"ETSARIMA",13.3007,1.8432,1.0001,0.8622
