"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",19.0102,3.735,1,1
"ARIMA",19.2398,3.475,1.1936,0.9712
"ETS",19.036,3.435,1.1348,0.9605
"ETSARIMA",18.6094,3.3766,1.1142,0.9415
"Legaki",16.9215,3.1431,0.9571,0.8658
