"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","M47724",678,12,0.395312019845914,0.999321567923489,0.0395932851730212,0.901018123277554,0,"12",0.0373967396277156,0.0874529404809496,0.026906229268682,0.0521554871710813,0.0611268843622385,2.00818893394147,4.89037547454398,1.43598827761669,2.83044890901672,3.346159691254
"2","M47725",792,12,0.336299330742204,0.999912975791826,0.395580036766749,0.688629271652229,0,"12",0.0698526463553315,0.0360563573909673,0.0327363761183454,0.0343837049428624,0.0487361286061953,4.85417640804766,2.55034709333441,2.31747708912694,2.43391209123068,3.42484626195097
"3","M47726",785,12,0.443470267744931,0.995707697514573,0.0892216947513031,0.720971486421302,0,"12",0.0723494188264037,0.0404782778627954,0.0216239392410275,0.0263863401311681,0.0551099872305902,4.66203943905223,2.7015469766695,1.43997896316296,1.77260678202221,3.59723552515572
"4","M47727",677,12,0.342249743686509,0.999969919160783,0.110984116507748,0.764466667401303,0.25,"12",0.05149380913976,0.0157127635514669,0.0200502164800587,0.0178772873282349,0.0339632981749499,2.9710775544488,0.928796745872984,1.18213284514597,1.05546479550948,1.98221004085068
"5","M47728",305,12,0.957877280392138,0.0807610092985543,0.27735604186853,-0.00426782141108596,0,"12",0.273689740497133,0.252375352694491,0.353559789111653,0.298712024163175,0.236283134882095,1.36710804906966,1.14376836127689,1.83887057171008,1.45051387307602,1.22029421028257
"6","M47729",174,12,0.831899466349277,0.726392196215314,0.480376223313866,-0.0504189028661308,0,"12",0.106445857307912,0.166111707008214,0.112453888328884,0.137253889581015,0.0915931498878242,0.431269937916345,0.668871967821217,0.460448371585911,0.549217434360457,0.367608535570709
"7","M47730",174,12,0.770285562910469,0.887722500587662,0.877899413148543,0.129176765290535,0.55,"12",0.110091358601213,0.107714636829516,0.0887563703701024,0.097319452310666,0.124537338267076,1.07702832047562,1.09495789057706,0.875963342232346,0.977787616207499,1.21272266088023
"8","M47731",174,12,0.879109878382885,0.491438874027228,0.401079871291461,-0.103956428982996,0.65,"12",0.0977602701890072,0.133295097248243,0.0863077497586727,0.109923575844404,0.0802217971138362,0.530425504941518,0.749364984875274,0.481820708503272,0.615592846689273,0.451460570721402
"9","M47732",174,12,0.765060759120877,0.933345675766836,0.911566035391702,-0.0195885272946152,0.8,"12",0.0598850394728655,0.0355806505181675,0.0991487565514005,0.0631433991754158,0.0722180169592499,0.660289650103676,0.422635187397912,1.08244873979405,0.712110114570024,0.793633198372665
"10","M47733",169,12,0.91943890564327,0.511540378355654,0.495871729457261,0.141884936382034,0.65,"12",0.191990993127358,0.190953077222579,0.195918246759807,0.19307645970152,0.194595292423409,0.628057467134372,0.635524568078197,0.640690575143944,0.638107571611071,0.637293294723756
