"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.9822,2.5899,1,1
"Comb",10.7959,2.6206,1.1184,0.9974
"ARIMA",10.3434,2.2346,1.1143,0.9023
"ETS",10.45,2.2991,1.0473,0.9196
"ETSARIMA",9.9681,2.2075,1.0299,0.88
