"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",12.5742,1.3607,1,1
"ARIMA",12.0815,1.1622,1.0207,0.9075
"ETS",11.7911,1.1521,0.9899,0.8922
"ETSARIMA",11.5332,1.125,0.9589,0.872
"Legaki",11.58,1.1885,0.9446,0.8972
