"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",18.4182,1.0867,1,1
"ARIMA",18.4182,1.0471,1.0677,0.9818
"ETS",18.422,1.0592,1.0331,0.9875
"ETSARIMA",17.782,1.0273,1.0036,0.9554
"Legaki",18.1085,1.0504,0.998,0.9749
