"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",16.3422,3.9744,1,1
"ARIMA",15.1561,3.4018,1.1505,0.8917
"ETS",15.3558,3.4444,1.119,0.9032
"ETSARIMA",14.8145,3.3408,1.0884,0.8736
"Legaki",13.3693,3.0099,0.8834,0.7877
