"","Series","n","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","M1",469,0.158567822160861,0.124063125113238,0.111215785096489,0.117654719782094,0.154097632431067,1.21654288225968,0.90446299871295,0.795964059398929,0.850213529055939,1.1942796731641
"2","M2",469,0.224014953969034,0.135168807068773,0.160640546940811,0.145547927040007,0.15026813687565,1.18104940198579,0.667806412617668,0.809547533603783,0.722806761241575,0.749302151835634
"3","M3",469,0.0300135046010544,0.0216759747068878,0.0164807289594474,0.0190722662719329,0.0173905772769548,1.43282210140098,1.04064647335143,0.792181577534555,0.916414025442995,0.834178090240824
"4","M4",82,0.0229766215542048,0.0229766215542048,0.0229912402735974,0.0229839309409259,0.0188414755853766,1.03469394511206,1.03469394511206,1.0353619731076,1.03502795910983,0.84623556764248
"5","M5",112,0.0136186968489709,0.0170550162047924,0.0137416179681032,0.014465752004068,0.013505881770208,0.535535535535536,0.66909223083555,0.540361578009594,0.568634053886021,0.531093166512548
"6","M6",666,0.0749467170546583,0.0844935371177207,0.0507539809158248,0.0678005180070171,0.0796305597428164,1.74870093388547,1.98352727653231,1.1640566686793,1.57379197260581,1.86411102436626
"7","M7",112,0.124122136050881,0.128215754254341,0.049180008379704,0.0857215435171153,0.136242572535543,1.54696572019407,1.60519338701875,0.584145652064289,1.04038588785631,1.71303028138095
"8","M8",112,0.0957972930120564,0.0626294220891936,0.0642766105592159,0.0627398889890779,0.118252236806677,1.05333408004779,0.673854834284861,0.692715017072695,0.675237447468207,1.32189629691004
"9","M9",822,0.030571257842367,0.0227748926024747,0.055703108783294,0.0392025909201203,0.0295705835376242,0.334349087585919,0.255245030824498,0.63306880475799,0.441655577314749,0.321636556174692
"10","M10",366,0.143168481562388,0.118747492088857,0.143738512734975,0.131355556701779,0.132790862797085,1.40316400912595,1.14413450788591,1.40925935193268,1.27669692990929,1.29193876168665
"11","M11",618,0.0157171525922467,0.00625552243795341,0.0174171450471842,0.0118140799459489,0.0102888421497152,0.908629598379872,0.36516098928303,1.02035938871317,0.692760188998098,0.588957517495629
"12","M12",918,0.015349930184665,0.0175543280389233,0.0210183256219991,0.0192817923000557,0.0136335342729029,0.430604767586055,0.492741274391851,0.588699788963181,0.540720531677516,0.38314354398009
"13","M13",918,0.0176176848913262,0.00490333418883908,0.0224116256063777,0.010424799033102,0.0163973258493753,0.394301362648583,0.110840298106288,0.500624713211094,0.234818131246353,0.367177664845952
"14","M14",726,0.029735767181216,0.00236143547751954,0.00200745392977791,0.00163864414100876,0.024426743078029,2.01827160238932,0.161669576980565,0.136853764272286,0.112002313690619,1.66439543853318
"15","M15",726,0.00751477588729152,0.00119673493220616,0.00327757373772778,0.00158852096740806,0.00636467574131189,0.494230284679509,0.0787324027460388,0.216985082439858,0.105006296366118,0.421653447727438
"16","M16",726,0.00689982593082805,0.00399557612710156,0.00820872208953648,0.00605627872222024,0.00504162167081183,0.46079502192718,0.267262955372059,0.551242577414016,0.406304950116287,0.336343248719401
"17","M17",726,0.0107437202518372,0.00406545127601421,0.0065384547495328,0.00443763779166155,0.0126712102581274,0.664944819115055,0.26229542189093,0.41528822553447,0.2794487144575,0.814813578042801
"18","M18",726,0.00879636545583808,0.00819791435071477,0.00948329538085625,0.00883990514743244,0.00520305244616674,0.59815889790341,0.556766475359112,0.644977419380488,0.6008719473698,0.357420501097415
