"","Series","insample_n","period","sMAPE.Naive2","sMAPE.Comb","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","MASE.Naive2","MASE.Comb","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA"
"1","H320",960,2,0.0170276585418236,0.0194719810751228,0.00317997066201246,0.0045712195739449,0.00267342817984172,2.96382956336674,3.779389596939,0.550691414285034,0.738573821606923,0.448487580033642
"2","D3596",954,1,0.0065629465075041,0.0058562437057232,0.00435124507777256,0.00653247324982664,0.00520072324377635,1.03571277207641,0.924587481822609,0.687612139270896,1.0309235208364,0.821412625166629
"3","Q23565",279,4,0.151873595567559,0.186630968116396,0.171660252914411,0.143680473411148,0.157528413931454,3.35540918926164,4.01665977427438,3.72937469048059,3.1848006115059,3.45708765099324
"4","D3643",799,1,0.0301914066180229,0.0301539492007954,0.0289859882417155,0.0302131165274073,0.0295993220475259,5.5007079093876,5.49398837654168,5.2843184778011,5.50460214775838,5.39446031277974
"5","D3817",237,1,0.0227232410792005,0.0219368804265681,0.0227232410792005,0.023073132331756,0.0228981519362713,2.2442843012576,2.1678682884177,2.2442843012576,2.27824713519364,2.26126571822562
"6","Y22841",13,6,0.0664730316981764,0.163624693268072,0.206383695112973,0.224184358754427,0.215112040548401,1.40932642487047,3.30061176741645,4.0713276730853,4.38862111413641,4.22997439361085
"7","D3891",343,1,0.0917468320973207,0.0915008972193725,0.0917468320973207,0.0917469212822314,0.091746876689777,14.8020153630131,14.7593990683293,14.8020153630131,14.8020307927636,14.8020230778884
"8","H362",960,2,0.301167328855917,0.236046919136737,0.114370242260947,0.259580627441198,0.16576436048297,1.14495958298464,0.935033857124519,0.448425200017911,1.02779183047298,0.677760873363639
"9","Y22583",14,6,0.218740472737282,0.18471708205075,0.210114473727931,0.209689789954805,0.209902020600226,5.78435839028094,4.96354785275295,5.57878266856376,5.56855841423979,5.57367054140178
"10","D4017",255,1,0.0208900574604098,0.0194078923935192,0.022154998248398,0.020889001183039,0.0215213035869714,1.64418276348862,1.52899701515833,1.74217598151012,1.64410075668563,1.69313836909787
"11","D4195",381,1,0.0511607938297038,0.0933169996639086,0.0868428386003166,0.0867505845387972,0.0867967147596309,5.20215633423181,9.74281585769738,9.02297784516487,9.01277248228998,9.01787516372743
"12","Q23322",51,4,0.0859732481634532,0.0714821662446847,0.0806052117838228,0.0806067255467971,0.0806059686650346,1.92578235502374,1.61324119361804,1.8110099901612,1.81104251239323,1.81102625127721
"13","Y22671",15,6,0.187320410178115,0.169624933411495,0.0967411923065923,0.187319221674238,0.140848785729228,6.16454802259887,5.62939315974108,3.30678400077673,6.16451244269471,4.73564822173572
"14","Y22477",47,6,0.105799574515939,0.0983100000982684,0.0939938143510048,0.0901775206247288,0.0920831810792818,5.74906665486151,5.37466077961709,5.15693787625583,4.96348276466349,5.06021032045966
"15","Y22076",15,6,0.0167394078809742,0.0903031811844699,0.0167394078809742,0.0167394067914094,0.0167394073362255,0.226499109439937,1.28875632110854,0.226499109439937,0.226499109439937,0.226499109439937
"16","Q23775",70,4,0.0883788725040378,0.0456891085434255,0.124589425083514,0.045511644828573,0.0732088606440579,0.533980582524272,0.268022171804724,0.694410141368624,0.266990291262136,0.422427517044746
