"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",16.6222,3.9237,1,1
"ARIMA",15.7935,3.383,1.1471,0.9062
"ETS",15.6041,3.3612,1.0916,0.8977
"ETSARIMA",15.2584,3.2991,1.0777,0.8794
"Legaki",13.982,3.0589,0.9085,0.8104
