"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.7019,1.3277,1,1
"ARIMA",10.2431,1.1485,1.0255,0.9111
"ETS",10.1874,1.167,0.98,0.9155
"ETSARIMA",9.8872,1.1274,0.9594,0.8865
"Legaki",9.7468,1.144,0.9292,0.8862
