"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",13.5635,3.4719,1,1
"ARIMA",12.055,2.728,1.0557,0.8373
"ETS",11.937,2.7267,0.9924,0.8327
"ETSARIMA",11.6512,2.6542,0.9832,0.8117
"Legaki",12.4898,2.9109,0.9869,0.8796
