"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",7.4537,1.1277,1,1
"ARIMA",7.39,0.9461,1.1093,0.9152
"ETS",7.0878,0.9398,0.9985,0.8921
"ETSARIMA",7.0098,0.9098,0.9917,0.8736
"Legaki",7.0898,1.0099,0.9946,0.9234
