"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",11.0331,1.4045,1,1
"ARIMA",10.4036,1.2708,1.0612,0.9238
"ETS",10.4022,1.2478,1.0122,0.9156
"ETSARIMA",10.2075,1.2328,1.0039,0.9014
"Legaki",10.0608,1.2511,0.9381,0.9013
