"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",5.3572,1.0234,1,1
"ARIMA",4.8498,0.8839,0.9855,0.8845
"ETS",4.8597,0.896,0.9508,0.8914
"ETSARIMA",4.6976,0.8633,0.9272,0.8602
"Legaki",4.9054,0.9263,0.9399,0.9104
