"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",13.9853,4.0416,1,1
"ARIMA",12.477,3.4766,1.1611,0.8762
"ETS",12.7153,3.5238,1.1535,0.8905
"ETSARIMA",12.2112,3.413,1.1137,0.8588
"Legaki",10.3795,2.765,0.7772,0.7131
