"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",14.1576,1.8386,1,1
"Comb",13.4448,1.6064,0.9593,0.9117
"ARIMA",13.6228,1.6029,1.0299,0.917
"ETS",13.5739,1.6005,0.9915,0.9146
"ETSARIMA",12.9793,1.5544,0.9603,0.8811
