"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",4.7193,1.2189,1,1
"ARIMA",3.566,0.9036,0.9397,0.7485
"ETS",3.721,0.9539,0.9633,0.7855
"ETSARIMA",3.5781,0.9134,0.9308,0.7538
"Legaki",3.5038,0.9342,0.8069,0.7544
