"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",10.016,1.2844,1,1
"ARIMA",9.5288,1.1488,1.0727,0.9229
"ETS",9.4007,1.1461,1.0089,0.9155
"ETSARIMA",9.199,1.1198,1.0011,0.8951
"Legaki",9.1826,1.1534,0.9642,0.9074
