"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",11.3668,1.4337,1,1
"ARIMA",10.4334,1.1684,0.9835,0.8664
"ETS",10.3522,1.1672,0.954,0.8624
"ETSARIMA",10.1231,1.1394,0.9291,0.8427
"Legaki",10.3784,1.2192,0.923,0.8817
