"","Series","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","W1",0.0205684270046445,0.0224175016744367,0.0464648944201719,0.0307074356131765,0.0178743680638898,11.4596144093622,12.4883765720181,25.5067996936704,17.0503341129451,9.95902123920073
"2","W2",0.035461210183042,0.0378160351012289,0.0660758573628704,0.0501614576511145,0.0326920393001856,10.39766273478,11.0703562200712,18.997519322886,14.5735452158878,9.59850938169719
"3","W3",0.0303164478100818,0.00716528896902493,0.014339276563904,0.0102514102025645,0.0278191452636276,8.8679604518972,2.12209627826733,4.23428590931235,3.03430595246997,8.1498193636794
"4","W4",0.200537447525714,0.155381585995436,0.193051969048121,0.170746839646685,0.222782892505719,1.63939935547556,1.31401049618821,1.58656332411334,1.42829774739405,1.790923222836
"5","W5",0.238579138383799,0.125521222953644,0.151891832217301,0.121176786425127,0.228069981777162,0.575470379150547,0.32325625660633,0.384630575326261,0.310805078475546,0.553632901472634
"6","W6",0.463462280671242,0.234781550821463,0.17894815861826,0.199011244682278,0.450918002779369,1.41969464694546,0.840890524497912,0.666789134357798,0.73222627833112,1.39159332015505
"7","W7",0.259929313767791,0.254872050982628,0.26293751171883,0.257704516860966,0.262096889659757,0.55710688814779,0.546194628815745,0.560326109720573,0.550747056720281,0.560958353583742
"8","W8",0.385098555413342,0.334593337192079,0.439016860252673,0.374220624043475,0.448683557628872,2.01921486006755,1.81055497241443,2.22348017671038,1.97591634634908,2.25844409209405
"9","W9",0.115150267850059,0.104713192886386,0.137527556615658,0.117570297679427,0.155576061993926,0.904587058109907,0.829264177920013,1.06320506493526,0.922199813443306,1.18808921585655
"10","W10",0.0571034664702589,0.0577760964998868,0.0570959483631213,0.057434891680384,0.0473569462270061,5.13829951933677,5.19645231970987,5.13764846198722,5.16696448203551,4.28709786592532
"11","W11",0.0701164483837709,0.142755484188536,0.201417893210689,0.170006778735287,0.0712179975312875,0.189376426604876,0.410863550374731,0.618999117879053,0.50549298149013,0.192297954924881
"12","W12",0.0336265252853825,0.0266001683423037,0.0326464579163528,0.0294974196793131,0.0329716641909571,2.79695175380367,2.22176785436458,2.71697656272728,2.45946223172178,2.74352072925674
"13","W13",0.0478813676953132,0.0375015116275462,0.0478774658859474,0.0420930357560663,0.0503003834668174,5.22752796703026,4.07568681201656,5.22709257333928,4.58355561286993,5.49800778458278
"14","W14",0.0301481997221492,0.0340111853361089,0.0296981307084346,0.028869071448658,0.0294751363401269,2.59650573821789,2.91662103365124,2.55749269887083,2.48508027409119,2.53783040861837
"15","W15",0.225290794626272,0.119483370226538,0.219242180841935,0.157313662655069,0.183208968324596,10.2911827001387,5.19952093659101,9.97018453866764,6.88701038830452,8.12779561204042
"16","W16",0.225290794626272,0.116836029654668,0.225288045786562,0.160574917755924,0.188613956945492,10.5764519207887,5.23467818074993,10.5763012176068,7.23455302775748,8.62876982807924
"17","W17",0.0198197394779426,0.0191888707586796,0.02130485544404,0.0201842436698339,0.0127751654388258,6.72953931960288,6.51826660581415,7.22550938955568,6.85142405185431,4.35322609675157
"18","W18",0.053937143422502,0.0401256503712609,0.0464032060373948,0.0432765019693975,0.070180818488785,7.23893853219396,5.33483539007121,6.19210019858184,5.76346779432652,9.5466932040364
"19","W19",0.30820917044145,0.20869711410574,0.185080876150199,0.184497674760936,0.286004180400261,0.73085023656962,0.538424971282726,0.479747250628252,0.480463363633774,0.691433508810518
"20","W20",0.122525671516639,0.135122627202654,0.131927959370656,0.133281588274899,0.125687257813745,0.849284050204455,0.948871949186444,0.923366551588381,0.934114378401323,0.873751817630861
"21","W21",0.276590882813171,0.166543208316008,0.162032818353663,0.161596641340546,0.29231007801686,0.880650791473351,0.566772462189495,0.549749297181838,0.549447505532448,0.921518932544743
"22","W22",0.152431401371493,0.129553299173452,0.140236096042023,0.131352234382329,0.134715113647165,0.479194028184552,0.401242759866374,0.436967137692637,0.407015683608096,0.417270680735981
"23","W23",0.0975754450432757,0.104538815665583,0.0989412924393878,0.100410545561137,0.0989232610868991,0.486942856583958,0.524334901619508,0.494210209696417,0.502129963521741,0.494111791542213
"24","W24",0.262555340944001,0.260641393524568,0.257808212827851,0.245787200557362,0.25478213683872,1.15951236148473,1.1596569335106,1.13439432257012,1.10013652151952,1.13714988421467
"25","W25",0.44360264116067,0.196433988670489,0.39166444090301,0.282649599154627,0.502434851493677,2.47518246664175,1.240346274896,2.23868988311995,1.70681941066436,2.7183172885982
"26","W26",0.450957226445245,0.24648342715726,0.445466939328532,0.333598487476063,0.438028759275086,1.35274456497903,0.834855239034532,1.34039330054849,1.07146920648773,1.32337913243234
"27","W27",0.4057805459718,0.275252450342554,0.43435389470962,0.351601530553318,0.435803524348945,1.47272190642289,1.07933425242093,1.55140970863571,1.31537198052832,1.55533137947383
"28","W28",0.348376662394872,0.436077718963697,0.369535787935278,0.404925319425108,0.384111800338223,1.23126861308327,1.54752577339157,1.29830652200928,1.42291614770042,1.34768724632658
"29","W29",0.441535624055139,0.325780119544262,0.471413711504134,0.390686640039816,0.517979767338861,1.5894964588849,1.25934929889046,1.66543230308729,1.44803634350642,1.78516333506765
