"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",7.597,1.3648,1,1
"Comb",7.0775,1.2211,0.9647,0.9132
"ARIMA",7.2048,1.1948,1.0465,0.9119
"ETS",7.2628,1.1975,0.9705,0.9167
"ETSARIMA",7.0884,1.1687,0.9688,0.8947
