"","sMAPE_mean","MASE_mean","OWA_mean","OWA_M4"
"Naive2",14.2386,1.7744,1,1
"Comb",13.301,1.6248,0.9809,0.9249
"ARIMA",13.5684,1.6258,1.0648,0.9346
"ETS",13.7578,1.6243,1.0156,0.9408
"ETSARIMA",13.3539,1.5866,0.999,0.916
